OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,Shape__Area,Shape__Length
3239,3.4039E+11,2319,1071,46.18369987,2346,117,2229,95.01278772,660,191,28.93939394,Low Income and Minority,Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,0af2cdff-828a-4b4c-8429-bf0d46859c53,2657666.969,6946.182123
3240,3.4039E+11,772,436,56.47668394,800,71,729,91.125,236,102,43.22033898,"Low Income, Minority, and Limited English",Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,7472b9bf-9b56-4966-b0c0-640b06b77560,2245154.772,8058.784498
3241,3.4039E+11,1792,1048,58.48214286,1792,669,1123,62.66741071,500,173,34.6,Low Income and Minority,Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,9e8ce1d2-3cd5-4792-acc5-abd9fffe333c,1910839.029,6022.935349
3242,3.4039E+11,1629,641,39.34929405,1629,363,1266,77.71639042,580,240,41.37931034,"Low Income, Minority, and Limited English",Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,d169df9d-34b1-43a3-9f9e-3c8e87a5d76b,7325553.691,12154.30313
3243,3.4039E+11,2068,1222,59.09090909,2068,191,1877,90.76402321,588,202,34.3537415,Low Income and Minority,Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,c327fd4f-ab1d-4fd5-8b52-f47a62bd524b,2439105.7,6535.451984
3244,3.4039E+11,808,323,39.97524752,808,55,753,93.19306931,333,149,44.74474474,"Low Income, Minority, and Limited English",Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,06952164-93db-4df8-826c-3307d3f91693,852705.0353,4083.874586
3245,3.4039E+11,1082,803,74.21441774,1082,180,902,83.36414048,279,124,44.44444444,"Low Income, Minority, and Limited English",Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,5c6d72e1-0020-4968-bbf7-cebeaa623f20,1196807.852,4622.170957
3246,3.4039E+11,1742,1017,58.38117107,1742,22,1720,98.73708381,572,130,22.72727273,Low Income and Minority,Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,cad9ca94-16e2-47ad-817a-a77587100816,1397677.762,5271.587067
3247,3.4039E+11,1810,1112,61.43646409,1810,31,1779,98.28729282,625,209,33.44,Low Income and Minority,Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,2439e6f8-cc92-40a3-8512-147440723474,1862420.73,8151.37846
3248,3.4039E+11,1214,678,55.84843493,1214,133,1081,89.04448105,393,134,34.09669211,Low Income and Minority,Block Group,3403921000,UNION,Elizabeth City,2004,Not a Split Block Group,Not Applicable,25f14709-efdf-41f1-9e63-d113dd5a6e34,1079523.508,4337.02722
