OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,Shape__Area,Shape__Length
1,3.4001E+11,811,547,67.44759556,811,84,727,89.64241677,298,95,31.87919463,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,5be223c2-7f5e-4300-946f-000cdc2ae7df,10712127.44,13286.6714
2,3.4001E+11,1303,894,68.61089793,1303,339,964,73.98311589,537,60,11.17318436,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,aa4d6371-eac4-4142-b89b-9e7ba542bf01,12655092.92,17681.07467
3,3.4001E+11,1901,878,46.18621778,1901,346,1555,81.79905313,682,248,36.36363636,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,5201289e-8de9-4b21-aa32-2b588318970a,9261212.748,15404.43535
4,3.4001E+11,560,154,27.5,560,222,338,60.35714286,262,80,30.53435115,Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,159a7a7b-7bbf-4d94-892b-f59871ad71a2,1722495.286,7958.923071
5,3.4001E+11,953,364,38.19517314,953,565,388,40.7135362,434,26,5.99078341,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,ece64500-2daf-4972-b366-bda8625a9bf7,1861613.725,5886.172558
6,3.4001E+11,1151,614,53.34491746,1151,78,1073,93.2232841,373,99,26.54155496,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,61788430-ef9b-498a-b740-e7fd2fafae3e,1715035.144,6284.621766
7,3.4001E+11,1866,1223,65.54126474,1866,81,1785,95.65916399,496,106,21.37096774,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,18845093-1dbd-49b4-9d05-1429f849381d,1215031.584,5076.604819
8,3.4001E+11,958,396,41.33611691,958,271,687,71.71189979,450,145,32.22222222,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,d89a5547-2a74-4de4-84fc-4867d10a31c3,1492873.162,4823.922245
9,3.4001E+11,1183,772,65.2578191,1183,479,704,59.50972105,606,44,7.26072607,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,1db093e1-31e1-4e41-9f5c-7d4cc72fe710,3178817.216,8044.905149
10,3.4001E+11,729,509,69.82167353,729,190,539,73.93689986,322,25,7.76397516,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,d3977a98-de04-4761-af89-fc895d1aee44,12391617.36,17123.0821
11,3.4001E+11,1412,1015,71.88385269,1414,233,1181,83.52192362,590,75,12.71186441,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,dc9bff27-a684-4f42-8fa2-92e6f28994e8,2686153.68,7181.194591
12,3.4001E+11,876,701,80.02283105,876,125,751,85.73059361,245,28,11.42857143,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,d9ea2989-e6c6-42e4-9347-f7217d9bfa7d,1294018.675,4981.039539
13,3.4001E+11,2300,1597,69.43478261,2324,162,2162,93.0292599,704,166,23.57954545,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,42285917-3815-4fd7-a30a-76628358095d,2509992.292,7806.452921
14,3.4001E+11,1151,614,53.34491746,1151,64,1087,94.43961772,603,67,11.11111111,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,cb776fcc-28bb-4d59-b039-6bfc3d7fa94f,1507139.117,5360.302361
15,3.4001E+11,691,401,58.03183792,691,13,678,98.1186686,476,39,8.19327731,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,233a8b0f-e032-4ab2-b29f-4197abad3411,1607297.78,5082.763336
16,3.4001E+11,1343,742,55.24944155,1343,2,1341,99.85107967,484,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,83df3e70-14fb-4b16-af25-afbb06eb8ac9,1722226.14,5948.339187
17,3.4001E+11,978,253,25.86912065,978,20,958,97.95501022,508,0,0,Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,1389c27b-3d41-4812-84f4-384a9cc1fb45,7240200.299,15177.24027
18,3.4001E+11,478,408,85.35564854,478,63,415,86.82008368,150,56,37.33333333,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,5c37a014-6b2c-4ad4-a0d1-dba7c9f834d2,4811884.317,9928.464956
19,3.4001E+11,496,195,39.31451613,496,21,475,95.76612903,261,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,af2a48ce-154d-47d6-a493-b37c62c36ed7,4504529.809,12207.29108
20,3.4001E+11,1244,524,42.1221865,1244,63,1181,94.93569132,532,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,8d6073ad-18b6-4194-a273-86bc5e594d8f,298839494.1,92191.1754
21,3.4001E+11,918,860,93.68191721,951,17,934,98.21240799,435,121,27.81609195,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,b219ca5b-460d-457a-9f77-ced25d2aa11b,22763659.54,20619.26199
22,3.4001E+11,1061,445,41.94156456,1061,290,771,72.667295,285,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,4b4fa19b-1993-4b48-8ea0-38bd944008a2,4363266.94,11140.45919
23,3.4001E+11,1382,971,70.26049204,1398,42,1356,96.99570815,724,166,22.9281768,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,c10a34e9-6762-47e0-a446-e0f7def5beb7,2116195.207,6313.849483
24,3.4001E+11,1145,1016,88.73362445,1145,92,1053,91.9650655,523,83,15.86998088,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,b2d813d0-0e2d-4448-b170-ccdf0ac9de7c,1711552.624,5490.118005
25,3.4001E+11,303,231,76.23762376,303,19,284,93.72937294,221,8,3.6199095,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,7dfadc1e-aa7d-43c8-b4f2-32bab02bb0ec,1517923.723,5437.857087
26,3.4001E+11,1222,855,69.96726678,1222,187,1035,84.69721768,512,98,19.140625,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,41db79cd-f50b-4eab-a19c-c146335033ed,1107194.617,5160.557984
27,3.4001E+11,372,248,66.66666667,372,212,160,43.01075269,346,9,2.60115607,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,2538c92e-b8a7-4172-bfda-e3bd24465d78,7273912.205,12418.21259
28,3.4001E+11,819,554,67.64346764,819,62,757,92.42979243,211,49,23.22274882,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,69bb9608-53d8-49d6-a130-dc615086294f,7928733.503,11668.48188
29,3.4001E+11,1702,1304,76.61574618,1766,193,1573,89.07134768,583,176,30.18867925,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,269ce72b-b520-49d5-9d72-d9c20054086f,4385646.838,8554.156123
30,3.4001E+11,594,533,89.73063973,594,52,542,91.24579125,261,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,41f02f59-968d-4f80-809d-67116e07f284,2437201.288,10166.89487
31,3.4001E+11,577,482,83.5355286,577,307,270,46.79376083,387,61,15.7622739,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,8854e422-0576-4b25-9306-3546e91cae26,18649305.02,17794.51373
32,3.4001E+11,532,387,72.7443609,532,99,433,81.39097744,205,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,4387a82c-1c6a-4619-9f54-2b900d4ea972,3577875.231,8276.912256
33,3.4001E+11,780,435,55.76923077,1184,150,1034,87.33108108,293,110,37.54266212,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,eef0369e-e6ae-43f5-9436-7adc41c8e4c7,2017686.517,5708.865175
34,3.4001E+11,710,508,71.54929577,710,16,694,97.74647887,260,0,0,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,f7144aac-3c31-43aa-aa81-ad12c81058d1,2841648.023,7941.134909
35,3.4001E+11,1281,1198,93.52068696,1281,115,1166,91.02263856,576,127,22.04861111,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,50680f1f-1d92-4b69-bbed-a71ddd0feb8d,3165178.41,11630.83789
36,3.4001E+11,235,38,16.17021277,329,67,262,79.63525836,135,38,28.14814815,Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,4d7409c1-26ac-455e-bdbb-a01d855d53a8,2444661.107,8870.599409
37,3.4001E+11,1827,1012,55.39135194,1827,257,1570,85.93322386,1200,69,5.75,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,4332d0e1-754f-48d5-a603-173918953398,8585076.188,13019.70085
38,3.4001E+11,734,358,48.77384196,734,377,357,48.63760218,406,12,2.95566502,Low Income and Minority,Block Group,3400107810,ATLANTIC,Brigantine City,103,Not a Split Block Group,Not Applicable,7b062d6d-928a-4e7a-bf30-95d2384c9eb2,2210326.99,7407.364172
39,3.4001E+11,2355,933,39.61783439,2470,1716,754,30.52631579,964,0,0,Low Income,Block Group,3400100100,ATLANTIC,Absecon City,101,Not a Split Block Group,Not Applicable,873add8e-f76e-4707-a8b0-1699dae13292,12566669.53,15485.78922
40,3.4001E+11,668,326,48.80239521,669,400,269,40.20926756,336,0,0,Low Income and Minority,Block Group,3400100100,ATLANTIC,Absecon City,101,Not a Split Block Group,Not Applicable,afa23dfd-4e67-477c-9a1c-e588b921547c,6781282.91,12509.80233
41,3.4001E+11,1253,298,23.78292099,1253,237,1016,81.08539505,586,37,6.31399317,Minority,Block Group,3400100100,ATLANTIC,Absecon City,101,Not a Split Block Group,Not Applicable,15fa67f7-637c-4e95-9b83-f6793be442b1,33645536.38,23702.4474
42,3.4001E+11,1365,701,51.35531136,1365,583,782,57.28937729,453,38,8.38852097,Low Income and Minority,Block Group,3400100100,ATLANTIC,Absecon City,101,Not a Split Block Group,Not Applicable,ab657b93-9c36-483c-befc-6e990f9b9804,29759086.28,40637.09165
43,3.4001E+11,773,157,20.31047865,803,339,464,57.78331258,300,0,0,Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,6f353c66-9d70-47fd-bb32-29af3e401c4b,177348105.9,71466.02682
44,3.4001E+11,1539,167,10.85120208,1683,682,1001,59.47712418,506,113,22.33201581,Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,3f21aee0-6b0b-4a3a-97ce-c5a950842808,14184171.01,16819.22586
45,3.4001E+11,2388,597,25,2388,1031,1357,56.82579564,631,87,13.78763867,Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,eca01ed1-2239-4530-9d06-36f7912f46c5,61056978.12,53805.38123
46,3.4001E+11,3748,1106,29.5090715,4011,1369,2642,65.86886063,1196,0,0,Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,0d39a31d-d116-4d37-ba34-f5e678169350,24069980.89,36208.34387
47,3.4001E+11,756,385,50.92592593,756,192,564,74.6031746,440,34,7.72727273,Low Income and Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,bbfad7c1-673c-432a-8b38-10fc45d4d940,15275443.2,16441.29186
48,3.4001E+11,1405,397,28.25622776,1405,509,896,63.77224199,462,19,4.11255411,Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,d602a65f-87ed-4ece-8ee7-019031c45a43,24029875.46,20744.62497
49,3.4001E+11,2619,918,35.05154639,2619,910,1709,65.25391371,1105,63,5.70135747,Low Income and Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,5d23e8c3-d1e3-47a4-b818-ec0a7031608a,9250909.104,14236.86812
50,3.4001E+11,2003,415,20.71892162,2003,1099,904,45.13230155,890,33,3.70786517,Minority,Block Group,3400125560,ATLANTIC,Galloway Township,111,Not a Split Block Group,Not Applicable,b2913eb4-5aa1-48bf-bec5-3752d2caf4ba,49058329.83,35029.13426
51,3.4001E+11,839,248,29.55899881,866,315,551,63.62586605,359,110,30.64066852,Minority,Block Group,3400120350,ATLANTIC,Egg Harbor City,107,Not a Split Block Group,Not Applicable,c13511b7-dd9d-4967-aa52-657bc902173e,288122152.5,94121.03004
52,3.4001E+11,1304,386,29.60122699,1304,714,590,45.24539877,528,4,0.75757576,Minority,Block Group,3400120350,ATLANTIC,Egg Harbor City,107,Not a Split Block Group,Not Applicable,046e9739-e7eb-4807-a00c-832e7605eb8f,15702143.46,15852.28646
53,3.4001E+11,1414,536,37.90664781,1541,502,1039,67.42375081,580,46,7.93103448,Low Income and Minority,Block Group,3400120350,ATLANTIC,Egg Harbor City,107,Not a Split Block Group,Not Applicable,4b06ba08-512c-4266-9e22-303b0e955764,7444644.224,11375.47866
54,3.4001E+11,657,429,65.29680365,657,247,410,62.40487062,311,56,18.00643087,Low Income and Minority,Block Group,3400120350,ATLANTIC,Egg Harbor City,107,Not a Split Block Group,Not Applicable,76185962-a3e7-4cde-b6dd-1bdff4c6a0e0,7074731.865,11177.21006
55,3.4001E+11,942,139,14.75583864,964,576,388,40.24896266,389,7,1.79948586,Minority,Block Group,3400149410,ATLANTIC,Mullica Township,117,Not a Split Block Group,Not Applicable,0f4e1698-41f5-43fc-818c-4adfd6ae599a,105611322,55563.12983
56,3.4001E+11,1629,644,39.53345611,1828,1546,282,15.42669584,631,29,4.59587956,Low Income,Block Group,3400129430,ATLANTIC,Hammonton town,113,Not a Split Block Group,Not Applicable,dcb3e2ab-5d3e-4665-b5cd-0769a153b500,194439457.1,85143.28021
57,3.4001E+11,844,352,41.70616114,844,508,336,39.81042654,464,0,0,Low Income,Block Group,3400129430,ATLANTIC,Hammonton town,113,Not a Split Block Group,Not Applicable,f7032649-22a7-4208-b12e-7e051f8c868e,542759907,97516.53667
58,3.4001E+11,899,232,25.80645161,899,466,433,48.16462736,260,0,0,Minority,Block Group,3400129430,ATLANTIC,Hammonton town,113,Not a Split Block Group,Not Applicable,d3b4d226-a94b-4a85-9abc-2fe4ffe49a06,6328714.238,10340.72227
59,3.4001E+11,1185,495,41.7721519,1185,1044,141,11.89873418,476,15,3.1512605,Low Income,Block Group,3400108710,ATLANTIC,Buena Vista Township,105,Not a Split Block Group,Not Applicable,9e16ed46-ffab-4c44-9dfd-e12a83f9e7e2,115400115,51116.83632
60,3.4001E+11,1895,930,49.07651715,1895,761,1134,59.84168865,854,0,0,Low Income and Minority,Block Group,3400108710,ATLANTIC,Buena Vista Township,105,Not a Split Block Group,Not Applicable,6afcf5b7-b200-4dff-b5c8-8057c57096d9,441318937.2,99205.79982
61,3.4001E+11,2003,409,20.41937094,2028,981,1047,51.62721893,788,39,4.94923858,Minority,Block Group,3400108680,ATLANTIC,Buena Borough,104,Not a Split Block Group,Not Applicable,b66a8f63-1e35-45db-b2a3-4e487bc52f57,77565849.23,37768.21825
62,3.4001E+11,1344,599,44.56845238,1371,830,541,39.46024799,495,0,0,Low Income,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,4ab60a33-e9e1-483e-bf7c-f10d3e21d667,26492874.22,27493.74713
63,3.4001E+11,2760,1053,38.15217391,2760,1834,926,33.55072464,1294,0,0,Low Income,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,9ffa38c4-0561-42de-868e-d2da44bdbd30,12978482.98,14752.98811
64,3.4001E+11,1401,229,16.34546752,1401,628,773,55.17487509,442,27,6.10859729,Minority,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,0119f382-af2b-44de-ad55-b942f97f357f,128571469.7,62103.97794
65,3.4001E+11,2412,183,7.58706468,3085,1385,1700,55.10534846,1157,0,0,Minority,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,ae95a6d1-8938-4532-af5f-496ea603cb4a,216187108.2,78901.9053
66,3.4001E+11,1552,565,36.40463918,1552,941,611,39.3685567,793,23,2.90037831,Low Income,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,97b0d37a-c35c-4ee5-b662-cea3b0c5814a,52827183.87,35568.85205
67,3.4001E+11,2031,541,26.63712457,2031,1215,816,40.17725258,723,0,0,Minority,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,bd6e0c92-3174-40fe-b74e-4e3924897629,632045193,141479.1725
68,3.4001E+11,2556,594,23.23943662,2632,1497,1135,43.1231003,746,25,3.35120643,Minority,Block Group,3400129280,ATLANTIC,Hamilton Township,112,Not a Split Block Group,Not Applicable,00aecd15-f807-4803-b4bb-ccdc1183c6e4,433767764.5,101701.435
69,3.4001E+11,1146,418,36.47469459,1146,521,625,54.53752182,394,33,8.37563452,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,afeaeedc-d051-4fa6-b2fc-f22e0a6e9dc7,91267254.98,46131.74526
70,3.4001E+11,2486,1046,42.07562349,2486,895,1591,63.99839099,923,35,3.79198267,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,fbf44a7b-0102-4dc3-b01d-fc8d7599349f,246802284.6,72981.91541
71,3.4001E+11,889,149,16.76040495,889,356,533,59.95500562,255,12,4.70588235,Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,355654a8-7efc-434a-8113-db1ce6cc9126,34095901.44,24124.71398
72,3.4001E+11,2372,791,33.34738617,2372,799,1573,66.3153457,839,7,0.83432658,Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,0b2ef903-00a7-4fc7-b537-63ddbba675f4,28625604.46,21948.11526
73,3.4001E+11,1976,780,39.47368421,1976,1089,887,44.88866397,507,16,3.15581854,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,d2ca88dd-73ce-495b-a706-ae994a854a57,21848804.1,23293.64339
74,3.4001E+11,1420,588,41.4084507,1420,800,620,43.66197183,643,48,7.46500778,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,6a14915a-5c4e-435f-9433-28f8b59ca906,20326502.7,26103.99095
75,3.4001E+11,2998,1498,49.96664443,2998,1370,1628,54.30286858,1014,51,5.0295858,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,e92cdc76-7154-4185-9dd4-27e751c39b95,31776677.82,27813.978
76,3.4001E+11,1374,449,32.6783115,1374,442,932,67.83114993,515,5,0.97087379,Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,f22bf5ae-43ae-41a5-a0c8-9d0f8e210c09,27057173.41,34902.65546
77,3.4001E+11,1723,858,49.79686593,1723,392,1331,77.24898433,619,89,14.37802908,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,8a89bc32-c90a-443d-8a18-9e85b97e5323,16645804.27,16847.3354
78,3.4001E+11,4386,502,11.44550844,4386,2545,1841,41.9744642,1330,72,5.41353383,Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,24feffe9-4773-44db-b8c7-b6e21eec5e5f,52743364.15,40833.39618
79,3.4001E+11,2349,7,0.29799915,2418,1447,971,40.15715467,807,0,0,Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,f0102b10-128e-43d3-b299-25e61476e82c,29270011.3,23559.35606
80,3.4001E+11,1662,36,2.16606498,1662,673,989,59.50661853,483,40,8.2815735,Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Not a Split Block Group,Not Applicable,721cf6ed-1bd4-4ef6-968b-65d70c5e4b17,18173299.67,22372.54494
81,3.4001E+11,2356,1598,67.82682513,2356,55,2301,97.6655348,637,15,2.35478807,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,52105713-a801-418d-8222-60002bedb2e7,6666706.851,10440.61446
82,3.4001E+11,1345,628,46.69144981,1390,0,1390,100,350,139,39.71428571,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,da6894c4-35e6-4fa8-82a1-ecfa5492b874,10602809.02,12855.5441
83,3.4001E+11,1610,468,29.06832298,1610,110,1500,93.16770186,543,58,10.68139963,Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,7e419783-da43-419c-87ce-df3269b63e14,9736445.37,12931.24252
84,3.4001E+11,3080,1730,56.16883117,3080,425,2655,86.2012987,1112,13,1.16906475,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,04b35ad1-4d64-47ba-be22-967baa155a34,22220997.97,23796.0441
85,3.4001E+11,1745,701,40.17191977,1745,192,1553,88.99713467,606,90,14.85148515,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,ae5074b4-e42a-4b24-a590-b81e7eaf52fc,15277283.85,17866.82281
86,3.4001E+11,2666,1648,61.81545386,2666,492,2174,81.54538635,893,47,5.26315789,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Split Block Group,Egg Harbor Township,652a3129-118a-4b1a-a601-e2facbff93a2,43768989.93,30358.07785
87,3.4001E+11,2666,1648,61.81545386,2666,492,2174,81.54538635,893,47,5.26315789,Low Income and Minority,Block Group,3400120290,ATLANTIC,Egg Harbor Township,108,Split Block Group,Pleasantville City,b242e414-1596-474a-80ff-7c2546e168af,28650390.74,27253.44159
88,3.4001E+11,1260,643,51.03174603,1260,68,1192,94.6031746,380,36,9.47368421,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,1bbeedeb-6c0a-45c9-8592-46edccaf1406,7234317.434,12098.68096
89,3.4001E+11,1494,1157,77.44310576,1638,176,1462,89.25518926,504,126,25,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,0effafdf-8d0e-48ff-ae41-465b48884be8,55532354.12,33837.77404
90,3.4001E+11,2287,1015,44.38128553,2287,87,2200,96.19588981,779,65,8.34403081,Low Income and Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,26e36117-d02f-471d-802f-b5878ccf482e,10622249.58,14680.42959
91,3.4001E+11,1604,511,31.85785536,1604,181,1423,88.71571072,438,61,13.92694064,Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,699c579a-7e75-42d2-b53e-f2d64de66ac9,7119092.982,10607.48815
92,3.4001E+11,1604,484,30.17456359,1681,223,1458,86.73408685,714,27,3.78151261,Minority,Block Group,3400159640,ATLANTIC,Pleasantville City,119,Not a Split Block Group,Not Applicable,03b4105d-4eee-4d62-b58a-19e2f001deca,14213836.12,15363.32085
93,3.4001E+11,1555,724,46.55948553,1555,820,735,47.26688103,467,6,1.28479657,Low Income and Minority,Block Group,3400152950,ATLANTIC,Northfield City,118,Not a Split Block Group,Not Applicable,0fa4a6b0-1182-4e77-b1f8-bfb0b83ca175,27644803.93,22697.48586
94,3.4001E+11,2723,1536,56.40837312,2723,1332,1391,51.08336394,1094,62,5.66727605,Low Income and Minority,Block Group,3400168430,ATLANTIC,Somers Point City,121,Not a Split Block Group,Not Applicable,8eba9c86-dee1-48e9-a34c-6de2eeb38b7a,20605504.8,21790.55296
95,3.4001E+11,1312,450,34.29878049,1312,687,625,47.63719512,544,49,9.00735294,Minority,Block Group,3400168430,ATLANTIC,Somers Point City,121,Not a Split Block Group,Not Applicable,c4906bd0-f4a1-4e41-8bd2-e2ef972fa217,9926828.048,15567.64642
96,3.4001E+11,610,286,46.8852459,610,505,105,17.21311475,346,21,6.06936416,Low Income,Block Group,3400168430,ATLANTIC,Somers Point City,121,Not a Split Block Group,Not Applicable,2d75ec53-155f-4b06-8991-744fcd7a97da,8229528.598,18383.38576
97,3.4001E+11,779,78,10.01283697,779,265,514,65.98202824,312,14,4.48717949,Minority,Block Group,3400175620,ATLANTIC,Ventnor City,122,Not a Split Block Group,Not Applicable,1e8ce7f7-8062-4c83-84e1-fd10bdea87ad,1503051.569,4998.216481
98,3.4001E+11,694,71,10.23054755,694,243,451,64.98559078,298,35,11.74496644,Minority,Block Group,3400175620,ATLANTIC,Ventnor City,122,Not a Split Block Group,Not Applicable,ded158b8-dc8d-4a3c-b917-34f6f2244779,772858.3626,3891.588551
99,3.4001E+11,979,448,45.76098059,979,808,171,17.46680286,585,46,7.86324786,Low Income,Block Group,3400175620,ATLANTIC,Ventnor City,122,Not a Split Block Group,Not Applicable,bb731d4d-49d8-49c4-ad06-3dd9940473b8,21195997.18,31214.85217
100,3.4001E+11,908,319,35.13215859,918,615,303,33.00653595,435,0,0,Low Income,Block Group,3400175620,ATLANTIC,Ventnor City,122,Not a Split Block Group,Not Applicable,c97d9e12-b216-4832-a975-6d9bf0e03b27,3022956.946,7718.331631
101,3.4003E+11,750,62,8.26666667,750,425,325,43.33333333,260,28,10.76923077,Minority,Block Group,3400301090,BERGEN,Alpine Borough,202,Not a Split Block Group,Not Applicable,f43d0033-392f-434b-9015-09d6b3e5c620,34610165.15,28846.46332
102,3.4003E+11,586,46,7.84982935,586,323,263,44.88054608,225,19,8.44444444,Minority,Block Group,3400301090,BERGEN,Alpine Borough,202,Not a Split Block Group,Not Applicable,8aa1fa4d-e5d4-4fd9-a87d-08f82fe7faf2,223744004.9,83322.97923
103,3.4003E+11,1603,136,8.48409233,1603,749,854,53.27510917,509,26,5.10805501,Minority,Block Group,3400353430,BERGEN,Northvale Borough,240,Not a Split Block Group,Not Applicable,26e2cddf-03a0-4b89-9ccf-bfabed1f3520,7632537.285,12929.14438
